/Users/joe-caozhi/Library/Python/3.9/lib/python/site-packages/gymnasium/envs/registration.py:519: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(

======================================================================
  Multi-Seed Statistical Power Experiment
  Mode: quick | n_seeds=10
  Envs: ['HalfCheetah-v4']
  Algorithms: ['Standard_PPO', 'HCGAE_Imp12', 'HCGAE_Imp12_SCR']
  Total runs: 30
  Estimated time: ~2 min (5 min/run)
======================================================================

  [1/30] SKIP HalfCheetah-v4 Standard_PPO seed=1
  [2/30] SKIP HalfCheetah-v4 Standard_PPO seed=2
  [3/30] SKIP HalfCheetah-v4 Standard_PPO seed=3
  [4/30] SKIP HalfCheetah-v4 Standard_PPO seed=4
  [5/30] SKIP HalfCheetah-v4 Standard_PPO seed=5
  [6/30] SKIP HalfCheetah-v4 Standard_PPO seed=6
  [7/30] SKIP HalfCheetah-v4 Standard_PPO seed=7
  [8/30] SKIP HalfCheetah-v4 Standard_PPO seed=8

  [9/30] HalfCheetah-v4 | Standard_PPO | seed=9
  [Standard_PPO_s9     ]  215040/300000 | Eval=  502.5 Rec= 165.0 | VL=8.858 EV=+0.898 | KL=0.0292 clip=0.351 |  1963fps   110s
  [Standard_PPO_s9     ]  217088/300000 | Eval=  502.5 Rec= 167.6 | VL=14.912 EV=+0.433 | KL=0.0276 clip=0.350 |  1961fps   111s
  [Standard_PPO_s9     ]  225280/300000 | Eval=  468.3 Rec= 209.5 | VL=14.499 EV=+0.531 | KL=0.0310 clip=0.376 |  1951fps   115s
  [Standard_PPO_s9     ]  227328/300000 | Eval=  468.3 Rec= 220.1 | VL=11.978 EV=+0.429 | KL=0.0297 clip=0.363 |  1954fps   116s
  [Standard_PPO_s9     ]  235520/300000 | Eval=  488.9 Rec= 276.5 | VL=10.847 EV=+0.841 | KL=0.0329 clip=0.384 |  1959fps   120s
  [Standard_PPO_s9     ]  237568/300000 | Eval=  488.9 Rec= 295.1 | VL=10.055 EV=+0.368 | KL=0.0297 clip=0.367 |  1961fps   121s
  [Standard_PPO_s9     ]  245760/300000 | Eval=  506.1 Rec= 289.9 | VL=18.527 EV=+0.500 | KL=0.0327 clip=0.387 |  1957fps   126s
  [Standard_PPO_s9     ]  247808/300000 | Eval=  506.1 Rec= 291.1 | VL=12.204 EV=+0.525 | KL=0.0332 clip=0.385 |  1962fps   126s
  [Standard_PPO_s9     ]  256000/300000 | Eval=  547.9 Rec= 345.9 | VL=10.913 EV=+0.426 | KL=0.0294 clip=0.370 |  1960fps   131s
  [Standard_PPO_s9     ]  258048/300000 | Eval=  547.9 Rec= 349.6 | VL=13.580 EV=+0.490 | KL=0.0334 clip=0.383 |  1965fps   131s
  [Standard_PPO_s9     ]  266240/300000 | Eval=  548.5 Rec= 390.6 | VL=13.190 EV=+0.541 | KL=0.0361 clip=0.402 |  1969fps   135s
  [Standard_PPO_s9     ]  268288/300000 | Eval=  548.5 Rec= 391.4 | VL=12.877 EV=+0.494 | KL=0.0329 clip=0.382 |  1973fps   136s
  [Standard_PPO_s9     ]  276480/300000 | Eval=  593.7 Rec= 397.1 | VL=13.024 EV=+0.405 | KL=0.0338 clip=0.389 |  1967fps   141s
  [Standard_PPO_s9     ]  278528/300000 | Eval=  593.7 Rec= 391.7 | VL=14.941 EV=+0.525 | KL=0.0371 clip=0.417 |  1969fps   141s
  [Standard_PPO_s9     ]  286720/300000 | Eval=  619.7 Rec= 388.6 | VL=15.970 EV=+0.517 | KL=0.0355 clip=0.402 |  1972fps   145s
  [Standard_PPO_s9     ]  288768/300000 | Eval=  619.7 Rec= 385.8 | VL=15.713 EV=+0.421 | KL=0.0385 clip=0.407 |  1976fps   146s
/Users/joe-caozhi/Library/Python/3.9/lib/python/site-packages/gymnasium/envs/registration.py:519: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
  [Standard_PPO_s9     ]  296960/300000 | Eval=  718.2 Rec= 413.6 | VL=18.124 EV=+0.496 | KL=0.0372 clip=0.413 |  1969fps   151s
  [Standard_PPO_s9     ]  299008/300000 | Eval=  718.2 Rec= 420.2 | VL=21.296 EV=+0.520 | KL=0.0369 clip=0.401 |  1972fps   152s
  Done [Standard_PPO_s9] | time=152.4s | final=605.6 | best=718.2
  -> Standard_PPO HalfCheetah-v4 s9: 605.6 (153s)
     Running: mean=948.3 ± 178.0 (n=9)
  Saved -> results/MultiSeedPower/multiseed_summary_n10.json

  [10/30] HalfCheetah-v4 | Standard_PPO | seed=10
  [Standard_PPO_s10    ]    2048/300000 | Eval=    N/A Rec=-619.0 | VL=18.884 EV=-0.021 | KL=0.0083 clip=0.114 |  2743fps     1s
  [Standard_PPO_s10    ]   10240/300000 | Eval=   -4.1 Rec=-652.7 | VL=30.991 EV=+0.629 | KL=0.0085 clip=0.121 |  1740fps     6s
  [Standard_PPO_s10    ]   12288/300000 | Eval=   -4.1 Rec=-641.8 | VL=7.279 EV=+0.309 | KL=0.0089 clip=0.129 |  1780fps     7s
  [Standard_PPO_s10    ]   20480/300000 | Eval=  -10.9 Rec=-598.6 | VL=18.086 EV=+0.358 | KL=0.0072 clip=0.100 |  1709fps    12s
  [Standard_PPO_s10    ]   22528/300000 | Eval=  -10.9 Rec=-597.5 | VL=13.887 EV=+0.174 | KL=0.0101 clip=0.157 |  1762fps    13s
  [Standard_PPO_s10    ]   30720/300000 | Eval=   -8.9 Rec=-514.6 | VL=9.721 EV=+0.533 | KL=0.0104 clip=0.152 |  1795fps    17s
  [Standard_PPO_s10    ]   32768/300000 | Eval=   -8.9 Rec=-494.7 | VL=11.253 EV=+0.423 | KL=0.0100 clip=0.154 |  1812fps    18s
  [Standard_PPO_s10    ]   40960/300000 | Eval=  406.6 Rec=-450.6 | VL=5.968 EV=+0.356 | KL=0.0103 clip=0.153 |  1853fps    22s
  [Standard_PPO_s10    ]   43008/300000 | Eval=  406.6 Rec=-429.3 | VL=11.678 EV=+0.356 | KL=0.0135 clip=0.212 |  1877fps    23s
  [Standard_PPO_s10    ]   51200/300000 | Eval=  458.2 Rec=-394.5 | VL=5.145 EV=+0.500 | KL=0.0125 clip=0.194 |  1866fps    27s
  [Standard_PPO_s10    ]   53248/300000 | Eval=  458.2 Rec=-387.7 | VL=6.616 EV=+0.496 | KL=0.0115 clip=0.174 |  1873fps    28s
  [Standard_PPO_s10    ]   61440/300000 | Eval=  224.7 Rec=-337.0 | VL=5.378 EV=+0.646 | KL=0.0135 clip=0.204 |  1881fps    33s
  [Standard_PPO_s10    ]   63488/300000 | Eval=  224.7 Rec=-329.3 | VL=7.703 EV=+0.513 | KL=0.0131 clip=0.207 |  1899fps    33s
  [Standard_PPO_s10    ]   71680/300000 | Eval=  169.4 Rec=-295.7 | VL=8.071 EV=+0.437 | KL=0.0140 clip=0.209 |  1924fps    37s
  [Standard_PPO_s10    ]   73728/300000 | Eval=  169.4 Rec=-286.0 | VL=4.276 EV=+0.506 | KL=0.0138 clip=0.206 |  1941fps    38s
  [Standard_PPO_s10    ]   81920/300000 | Eval=  206.9 Rec=-252.4 | VL=7.534 EV=+0.376 | KL=0.0152 clip=0.229 |  1940fps    42s
  [Standard_PPO_s10    ]   83968/300000 | Eval=  206.9 Rec=-245.7 | VL=4.828 EV=+0.218 | KL=0.0147 clip=0.223 |  1939fps    43s
  [Standard_PPO_s10    ]   92160/300000 | Eval=  177.8 Rec=-206.2 | VL=5.082 EV=+0.247 | KL=0.0159 clip=0.244 |  1911fps    48s
  [Standard_PPO_s10    ]   94208/300000 | Eval=  177.8 Rec=-202.1 | VL=6.102 EV=+0.375 | KL=0.0154 clip=0.231 |  1923fps    49s
  [Standard_PPO_s10    ]  102400/300000 | Eval=  234.7 Rec=-174.4 | VL=5.626 EV=+0.223 | KL=0.0158 clip=0.241 |  1913fps    54s
  [Standard_PPO_s10    ]  104448/300000 | Eval=  234.7 Rec=-158.3 | VL=7.398 EV=+0.396 | KL=0.0163 clip=0.246 |  1915fps    55s
  [Standard_PPO_s10    ]  112640/300000 | Eval=  274.9 Rec=-123.2 | VL=4.652 EV=+0.167 | KL=0.0179 clip=0.258 |  1903fps    59s
  [Standard_PPO_s10    ]  114688/300000 | Eval=  274.9 Rec=-114.4 | VL=4.411 EV=+0.274 | KL=0.0187 clip=0.272 |  1909fps    60s
  [Standard_PPO_s10    ]  122880/300000 | Eval=  233.5 Rec= -59.7 | VL=4.847 EV=+0.206 | KL=0.0204 clip=0.297 |  1908fps    64s
  [Standard_PPO_s10    ]  124928/300000 | Eval=  233.5 Rec= -54.7 | VL=8.700 EV=+0.354 | KL=0.0202 clip=0.282 |  1914fps    65s
  [Standard_PPO_s10    ]  133120/300000 | Eval=  240.0 Rec= -18.7 | VL=6.607 EV=+0.335 | KL=0.0191 clip=0.277 |  1902fps    70s
  [Standard_PPO_s10    ]  135168/300000 | Eval=  240.0 Rec=  -8.1 | VL=5.095 EV=+0.182 | KL=0.0208 clip=0.294 |  1910fps    71s
  [Standard_PPO_s10    ]  143360/300000 | Eval=  410.2 Rec=  18.5 | VL=5.373 EV=+0.303 | KL=0.0221 clip=0.309 |  1906fps    75s
  [Standard_PPO_s10    ]  145408/300000 | Eval=  410.2 Rec=  38.6 | VL=4.426 EV=+0.148 | KL=0.0218 clip=0.302 |  1899fps    77s
  [Standard_PPO_s10    ]  153600/300000 | Eval=  498.2 Rec=  93.1 | VL=6.080 EV=+0.293 | KL=0.0204 clip=0.294 |  1903fps    81s
  [Standard_PPO_s10    ]  155648/300000 | Eval=  498.2 Rec= 113.1 | VL=8.044 EV=+0.418 | KL=0.0215 clip=0.300 |  1910fps    81s
  [Standard_PPO_s10    ]  163840/300000 | Eval=  601.4 Rec= 160.7 | VL=7.402 EV=+0.475 | KL=0.0225 clip=0.317 |  1901fps    86s
  [Standard_PPO_s10    ]  165888/300000 | Eval=  601.4 Rec= 168.8 | VL=7.833 EV=+0.607 | KL=0.0233 clip=0.316 |  1906fps    87s
  [Standard_PPO_s10    ]  174080/300000 | Eval=  651.0 Rec= 218.2 | VL=8.390 EV=+0.707 | KL=0.0261 clip=0.340 |  1915fps    91s
  [Standard_PPO_s10    ]  176128/300000 | Eval=  651.0 Rec= 226.4 | VL=8.011 EV=+0.678 | KL=0.0227 clip=0.307 |  1916fps    92s
  [Standard_PPO_s10    ]  184320/300000 | Eval=  649.0 Rec= 270.7 | VL=8.676 EV=+0.617 | KL=0.0262 clip=0.344 |  1901fps    97s
  [Standard_PPO_s10    ]  186368/300000 | Eval=  649.0 Rec= 276.4 | VL=6.338 EV=+0.454 | KL=0.0274 clip=0.354 |  1901fps    98s
  [Standard_PPO_s10    ]  194560/300000 | Eval=  698.2 Rec= 283.4 | VL=13.049 EV=+0.748 | KL=0.0271 clip=0.339 |  1904fps   102s
  [Standard_PPO_s10    ]  196608/300000 | Eval=  698.2 Rec= 294.1 | VL=10.294 EV=+0.624 | KL=0.0298 clip=0.362 |  1910fps   103s
  [Standard_PPO_s10    ]  204800/300000 | Eval=  750.0 Rec= 342.3 | VL=11.031 EV=+0.500 | KL=0.0282 clip=0.348 |  1906fps   107s
  [Standard_PPO_s10    ]  206848/300000 | Eval=  750.0 Rec= 361.9 | VL=7.304 EV=+0.327 | KL=0.0294 clip=0.361 |  1910fps   108s
  [Standard_PPO_s10    ]  215040/300000 | Eval=  814.4 Rec= 425.4 | VL=9.354 EV=+0.509 | KL=0.0287 clip=0.365 |  1913fps   112s
  [Standard_PPO_s10    ]  217088/300000 | Eval=  814.4 Rec= 429.8 | VL=13.380 EV=+0.707 | KL=0.0291 clip=0.359 |  1917fps   113s
  [Standard_PPO_s10    ]  225280/300000 | Eval=  831.2 Rec= 458.4 | VL=8.311 EV=+0.472 | KL=0.0324 clip=0.379 |  1919fps   117s
  [Standard_PPO_s10    ]  227328/300000 | Eval=  831.2 Rec= 455.3 | VL=7.429 EV=+0.718 | KL=0.0295 clip=0.368 |  1924fps   118s
  [Standard_PPO_s10    ]  235520/300000 | Eval=  820.4 Rec= 497.5 | VL=6.459 EV=+0.623 | KL=0.0330 clip=0.394 |  1932fps   122s
  [Standard_PPO_s10    ]  237568/300000 | Eval=  820.4 Rec= 512.5 | VL=13.450 EV=+0.670 | KL=0.0354 clip=0.400 |  1937fps   123s
  [Standard_PPO_s10    ]  245760/300000 | Eval=  848.7 Rec= 541.8 | VL=8.806 EV=+0.667 | KL=0.0328 clip=0.385 |  1938fps   127s
  [Standard_PPO_s10    ]  247808/300000 | Eval=  848.7 Rec= 547.0 | VL=13.855 EV=+0.770 | KL=0.0335 clip=0.397 |  1937fps   128s
  [Standard_PPO_s10    ]  256000/300000 | Eval=  948.5 Rec= 575.5 | VL=6.491 EV=+0.435 | KL=0.0349 clip=0.399 |  1938fps   132s
  [Standard_PPO_s10    ]  258048/300000 | Eval=  948.5 Rec= 583.9 | VL=7.118 EV=+0.498 | KL=0.0363 clip=0.407 |  1943fps   133s
  [Standard_PPO_s10    ]  266240/300000 | Eval=  937.5 Rec= 605.5 | VL=14.993 EV=+0.760 | KL=0.0404 clip=0.420 |  1951fps   136s
  [Standard_PPO_s10    ]  268288/300000 | Eval=  937.5 Rec= 623.2 | VL=9.501 EV=+0.679 | KL=0.0335 clip=0.385 |  1955fps   137s
  [Standard_PPO_s10    ]  276480/300000 | Eval=  961.0 Rec= 663.2 | VL=11.203 EV=+0.715 | KL=0.0401 clip=0.421 |  1954fps   141s
  [Standard_PPO_s10    ]  278528/300000 | Eval=  961.0 Rec= 662.5 | VL=8.184 EV=+0.447 | KL=0.0383 clip=0.418 |  1954fps   142s
  [Standard_PPO_s10    ]  286720/300000 | Eval=  971.4 Rec= 706.5 | VL=10.338 EV=+0.692 | KL=0.0363 clip=0.403 |  1950fps   147s
  [Standard_PPO_s10    ]  288768/300000 | Eval=  971.4 Rec= 713.8 | VL=11.310 EV=+0.581 | KL=0.0382 clip=0.410 |  1951fps   148s
  [Standard_PPO_s10    ]  296960/300000 | Eval= 1003.3 Rec= 718.7 | VL=10.148 EV=+0.365 | KL=0.0453 clip=0.452 |  1946fps   153s
  [Standard_PPO_s10    ]  299008/300000 | Eval= 1003.3 Rec= 727.9 | VL=6.459 EV=+0.277 | KL=0.0419 clip=0.433 |  1946fps   154s
  Done [Standard_PPO_s10] | time=154.6s | final=964.3 | best=1003.3
  -> Standard_PPO HalfCheetah-v4 s10: 964.3 (155s)
     Running: mean=949.9 ± 169.0 (n=10)
  Saved -> results/MultiSeedPower/multiseed_summary_n10.json

  [11/30] HalfCheetah-v4 | HCGAE_Imp12 | seed=1
  [HCGAE_Imp12_s1    |①✓②✓③✗④✗⑤✗]    2048/300000 [░░░░░░░░░░░░░░░░░░░░]   0.7% | Eval=    N/A Rec=-639.7 | VL=1508.120 EV=-0.002 | ᾱ=0.335(±0.241) αmax=0.70 | c_mc=1.00 | bias=+62.656 var=12.145 SNR=1.916 | scr=3.671 ΔV=24.724 err_μ=62.656 err_ema=4.083 | δ:μ=-0.654 σ=1.450 r1=-0.16 | KL=0.0070 clip=0.09 |  2056fps     1s
  [HCGAE_Imp12_s1    |①✓②✓③✗④✗⑤✗]   10240/300000 [░░░░░░░░░░░░░░░░░░░░]   3.4% | Eval=   -1.4 Rec=-644.5 | VL=45.994 EV=+0.033 | ᾱ=0.310(±0.254) αmax=0.70 | c_mc=1.00 | bias=-5.353 var=4.930 SNR=0.180 | scr=0.891 ΔV=4.309 err_μ=8.798 err_ema=7.197 | δ:μ=+0.053 σ=2.229 r1=-0.36 | KL=0.0092 clip=0.14 |  1940fps     5s
